player_id,season,week,team,opponent,position,snaps,team_snaps,routes,team_dropbacks,targets,team_targets,receptions,receiving_yards,air_yards,team_air_yards,carries,team_carries,rushing_yards,pass_attempts,passing_yards,rz_targets,team_rz_targets,rz_carries,team_rz_carries,inside5_carries,team_inside5_carries,rush_td,rec_td,pass_td,anytime_td
00-0039792,2026,2,BAL,NO,WR,17.0,58.62068965517242,,31,2,29,1,47,60,310,0,22,0,0,0,0.0,2.0,,5.0,,1.0,0,0,0,0
00-0039793,2026,2,SEA,ARI,TE,56.0,70.0,,26,1,26,1,8,8,227,1,40,1,0,0,0.0,6.0,1.0,15.0,1.0,8.0,1,0,0,1
00-0039794,2026,2,NYJ,GB,RB,23.0,74.19354838709677,,41,1,36,1,8,3,255,5,27,7,0,0,1.0,6.0,1.0,2.0,1.0,1.0,1,0,0,1
00-0039796,2026,2,BAL,NO,RB,0.0,,,31,0,29,0,0,0,310,0,22,0,0,0,,2.0,,5.0,,1.0,0,0,0,0
00-0039798,2026,2,NYJ,GB,RB,0.0,,,41,0,36,0,0,0,255,0,27,0,0,0,,6.0,,2.0,,1.0,0,0,0,0
00-0039811,2026,2,GB,NYJ,RB,16.0,59.25925925925925,,29,2,29,2,6,-4,216,6,18,20,0,0,1.0,3.0,2.0,5.0,0.0,0.0,0,1,0,1
00-0039814,2026,2,CIN,HOU,TE,25.0,59.523809523809526,,31,3,31,2,5,-1,173,0,23,0,0,0,0.0,1.0,,1.0,,0.0,0,0,0,0
00-0039816,2026,2,IND,KC,WR,0.0,,,31,0,30,0,0,0,158,0,32,0,0,0,,4.0,,6.0,,2.0,0,0,0,0
00-0039847,2026,2,NYG,LA,TE,16.0,57.14285714285714,,32,4,32,0,0,55,341,0,21,0,0,0,0.0,1.0,,3.0,,1.0,0,0,0,0
00-0039849,2026,2,ARI,SEA,WR,37.0,50.0,,28,1,26,0,0,3,96,0,17,0,0,0,0.0,2.0,,3.0,,0.0,0,0,0,0
00-0039851,2026,2,NE,PIT,QB,55.0,55.0,,22,0,21,0,0,0,193,4,28,17,22,208,,3.0,0.0,0.0,0.0,0.0,0,0,0,0
00-0039868,2026,2,DEN,JAX,WR,13.0,61.904761904761905,,31,2,29,1,27,33,270,0,28,0,0,0,1.0,5.0,,6.0,,4.0,0,0,0,0
00-0039874,2026,2,MIA,SF,RB,3.0,60.0,,23,0,23,0,0,0,169,2,28,11,0,0,,4.0,2.0,8.0,0.0,1.0,0,0,0,0
00-0039875,2026,2,BUF,DET,RB,10.0,71.42857142857142,,31,0,28,0,0,0,248,0,36,0,0,0,,4.0,,7.0,,4.0,0,0,0,0
00-0039880,2026,2,MIA,SF,WR,43.0,58.9041095890411,,23,5,23,4,43,27,169,1,28,4,0,0,0.0,4.0,1.0,8.0,0.0,1.0,0,0,0,0
